Rank,Score,Autonomous Coding Skills,Driver Skills,Highest Autonomous Coding Skills,Highest Driver Skills,Highest Autonomous Score Timestamp,Highest Driver Score Timestamp,Highest Autonomous Score Stop Time,Highest Driver Score Stop Time,Team Number,Team Name,Organization,Event Region,Country / Region
1102,118,70,48,2024-02-10 17:08:21,2024-02-10 18:44:34,70,0,48,0,9460B,Silver Steel,PRINCE OF PEACE LUTHERAN SCHOOL,Minnesota,United States
1118,114,29,85,2024-02-10 16:28:17,2024-02-03 16:07:08,83,0,85,0,75548Z,Z Hounds,Cathedral High School,Minnesota,United States
1123,113,43,70,2024-02-03 19:55:06,2024-02-03 16:12:11,43,0,70,0,81101E,[Insert Name Here],Mankato West Robotics,Minnesota,United States
1145,110,66,44,2024-02-03 19:20:19,2024-02-03 17:27:19,66,0,44,0,8108C,Powerful Penguins,NORTH JUNIOR HIGH,Minnesota,United States
1148,109,42,67,2024-02-10 20:17:18,2024-02-10 19:30:08,42,0,67,0,3211H,Elite Doug the Pug,Scouts BSA - Troop 211,Minnesota,United States
1159,108,55,53,2024-02-03 15:22:16,2024-02-03 19:59:01,55,0,53,0,81101B,Geared Up,Mankato West Robotics,Minnesota,United States
1245,97,59,38,2024-02-03 15:58:02,2024-01-27 15:56:43,65,0,38,0,8108F,Galaxy Invaders,NORTH JUNIOR HIGH,Minnesota,United States
1251,96,44,52,2024-02-03 22:10:38,2024-02-03 21:30:09,44,0,52,0,1532A,Lumberjacks,BEMIDJI MIDDLE,Minnesota,United States
1319,90,90,0,,2024-01-27 20:03:46,90,0,0,0,27922E,Lemon Heads,OSSEO SENIOR HIGH,Minnesota,United States
1347,87,47,40,2024-01-27 21:27:18,2024-01-27 18:36:19,47,0,40,0,68031E,Elite Boltz,KENNEDY COMMUNITY SCHOOL,Minnesota,United States
1349,87,82,5,2024-02-03 14:12:57,2024-01-06 19:44:34,82,0,7,42,739D,Fox Bots,Kimball Secondary,Minnesota,United States
1381,84,57,27,2023-12-05 22:53:50,2024-02-03 18:19:27,74,0,36,0,8108A,Jurrasic Toast,NORTH JUNIOR HIGH,Minnesota,United States
1383,84,74,10,2024-02-10 20:10:26,2024-02-10 20:41:23,74,0,10,0,739C,Senior Smarties,Kimball Secondary,Minnesota,United States
1422,79,0,79,2023-12-15 15:43:56,2023-11-11 17:08:22,4,0,79,0,24118A,Dr. VEX,Southwest Middle School,Minnesota,United States
1472,76,76,0,,2024-02-10 18:09:14,76,0,0,0,55371C,Underdogz,PRINCETON MIDDLE SCHOOL,Minnesota,United States
1491,74,74,0,2024-02-03 19:31:49,2024-02-03 15:54:22,74,0,0,22,55371F,Chili Dawgz,PRINCETON MIDDLE SCHOOL,Minnesota,United States
1539,70,44,26,2024-02-03 18:58:57,2024-02-03 21:08:42,44,0,26,0,72527M,Rebooted,St Croix Lutheran Academy,Minnesota,United States
1540,70,46,24,2024-01-19 20:57:02,2024-01-19 18:51:04,46,0,24,20,5450D,Freeze Frame D,Marshall County Central High School,Minnesota,United States
1552,70,70,0,,2024-02-10 16:51:01,70,0,0,0,1506C,Metal Monstrosity,PACT CHARTER SCHOOL,Minnesota,United States
1565,69,69,0,,2024-02-03 21:59:03,69,0,0,0,81101C,Capytech,Mankato West Robotics,Minnesota,United States
1596,66,56,10,2023-12-15 21:25:19,2024-02-17 17:08:15,65,0,10,0,7225S,Southland Skeeterbots,Southland Middle School,Minnesota,United States
1597,66,66,0,2023-12-02 19:42:35,2024-02-03 17:02:38,66,0,2,0,10001M,Just Christmas,PRAIRIE WINDS MIDDLE SCHOOL,Minnesota,United States
